date,time,pre_kpa_20942062,temp,pres_kpa_20942063,water_level
6/7/2021,11:00:00,101.239,18.426,NA,NA
6/7/2021,11:10:00,107.242,12.207,101.284,0.881
6/7/2021,11:20:00,107.232,11.041,101.287,0.88
6/7/2021,11:30:00,107.212,10.944,101.296,0.877
6/7/2021,11:40:00,107.18,10.944,101.293,0.874
6/7/2021,11:50:00,107.212,10.944,101.299,0.876
6/7/2021,12:00:00,107.196,10.944,101.298,0.875
6/7/2021,12:10:00,107.183,11.041,101.298,0.874
6/7/2021,12:20:00,107.183,11.041,101.314,0.872
6/7/2021,12:30:00,107.187,11.139,101.298,0.874
6/7/2021,12:40:00,107.187,11.139,101.323,0.871
6/7/2021,12:50:00,107.171,11.139,101.327,0.869
6/7/2021,13:00:00,107.158,11.236,101.32,0.869
6/7/2021,13:10:00,107.146,11.334,101.32,0.868
6/7/2021,13:20:00,107.146,11.334,101.32,0.868
6/7/2021,13:30:00,107.146,11.334,101.304,0.869
6/7/2021,13:40:00,107.101,11.431,101.321,0.863
6/7/2021,13:50:00,107.105,11.528,101.317,0.864
6/7/2021,14:00:00,107.108,11.625,101.306,0.865
6/7/2021,14:10:00,107.108,11.625,101.31,0.865
6/7/2021,14:20:00,107.092,11.625,101.297,0.864
6/7/2021,14:30:00,107.108,11.625,101.3,0.866
6/7/2021,14:40:00,107.092,11.625,101.288,0.865
6/7/2021,14:50:00,107.072,11.528,101.295,0.863
6/7/2021,15:00:00,107.072,11.528,101.287,0.863
6/7/2021,15:10:00,107.056,11.528,101.287,0.862
6/7/2021,15:20:00,107.056,11.528,101.287,0.862
6/7/2021,15:30:00,107.053,11.431,101.287,0.862
6/7/2021,15:40:00,107.037,11.431,101.287,0.86
6/7/2021,15:50:00,107.037,11.431,101.275,0.861
6/7/2021,16:00:00,107.033,11.334,101.291,0.859
6/7/2021,16:10:00,107.017,11.334,101.311,0.855
6/7/2021,16:20:00,107.017,11.334,101.315,0.855
6/7/2021,16:30:00,107.001,11.334,101.299,0.855
6/7/2021,16:40:00,107.017,11.334,101.295,0.857
6/7/2021,16:50:00,107.001,11.334,101.279,0.857
6/7/2021,17:00:00,106.985,11.334,101.279,0.855
6/7/2021,17:10:00,106.953,11.334,101.299,0.85
6/7/2021,17:20:00,106.965,11.236,101.288,0.852
6/7/2021,17:30:00,106.965,11.236,101.272,0.854
6/7/2021,17:40:00,106.949,11.236,101.26,0.854
6/7/2021,17:50:00,106.933,11.236,101.276,0.85
6/7/2021,18:00:00,106.949,11.236,101.256,0.854
6/7/2021,18:10:00,106.933,11.236,101.272,0.851
6/7/2021,18:20:00,106.917,11.236,101.256,0.851
6/7/2021,18:30:00,106.885,11.236,101.256,0.848
6/7/2021,18:40:00,106.901,11.236,101.251,0.85
6/7/2021,18:50:00,106.869,11.236,101.251,0.846
6/7/2021,19:00:00,106.865,11.139,101.247,0.846
6/7/2021,19:10:00,106.881,11.139,101.247,0.848
6/7/2021,19:20:00,106.881,11.139,101.243,0.848
6/7/2021,19:30:00,106.865,11.139,101.243,0.847
6/7/2021,19:40:00,106.865,11.139,101.243,0.847
6/7/2021,19:50:00,106.849,11.139,101.255,0.844
6/7/2021,20:00:00,106.846,11.041,101.255,0.844
6/7/2021,20:10:00,106.846,11.041,101.25,0.844
6/7/2021,20:20:00,106.814,11.041,101.23,0.843
6/7/2021,20:30:00,106.814,11.041,101.246,0.841
6/7/2021,20:40:00,106.83,11.041,101.242,0.843
6/7/2021,20:50:00,106.814,11.041,101.242,0.842
6/7/2021,21:00:00,106.81,10.944,101.222,0.843
6/7/2021,21:10:00,106.794,10.944,101.238,0.84
6/7/2021,21:20:00,106.794,10.944,101.249,0.839
6/7/2021,21:30:00,106.794,10.944,101.249,0.839
6/7/2021,21:40:00,106.794,10.944,101.261,0.838
6/7/2021,21:50:00,106.791,10.846,101.261,0.837
6/7/2021,22:00:00,106.807,10.846,101.273,0.838
6/7/2021,22:10:00,106.791,10.846,101.257,0.838
6/7/2021,22:20:00,106.791,10.846,101.252,0.838
6/7/2021,22:30:00,106.791,10.846,101.264,0.837
6/7/2021,22:40:00,106.791,10.846,101.276,0.836
6/7/2021,22:50:00,106.803,10.748,101.272,0.837
6/7/2021,23:00:00,106.787,10.748,101.283,0.835
6/7/2021,23:10:00,106.771,10.748,101.279,0.834
6/7/2021,23:20:00,106.787,10.748,101.275,0.836
6/7/2021,23:30:00,106.771,10.748,101.287,0.833
6/7/2021,23:40:00,106.771,10.748,101.282,0.833
6/7/2021,23:50:00,106.771,10.748,101.278,0.834
6/8/2021,00:00:00,106.767,10.651,101.29,0.832
6/8/2021,00:10:00,106.751,10.651,101.285,0.831
6/8/2021,00:20:00,106.735,10.651,101.265,0.831
6/8/2021,00:30:00,106.735,10.651,101.261,0.832
6/8/2021,00:40:00,106.735,10.651,101.273,0.83
6/8/2021,00:50:00,106.751,10.651,101.268,0.833
6/8/2021,01:00:00,106.735,10.651,101.264,0.831
6/8/2021,01:10:00,106.719,10.651,101.248,0.831
6/8/2021,01:20:00,106.719,10.651,101.26,0.83
6/8/2021,01:30:00,106.735,10.651,101.255,0.832
6/8/2021,01:40:00,106.703,10.651,101.255,0.829
6/8/2021,01:50:00,106.719,10.651,101.235,0.833
6/8/2021,02:00:00,106.703,10.651,101.263,0.828
6/8/2021,02:10:00,106.703,10.651,101.247,0.83
6/8/2021,02:20:00,106.687,10.651,101.243,0.829
6/8/2021,02:30:00,106.687,10.651,101.243,0.829
6/8/2021,02:40:00,106.703,10.651,101.259,0.829
6/8/2021,02:50:00,106.703,10.651,101.254,0.829
6/8/2021,03:00:00,106.687,10.651,101.254,0.827
6/8/2021,03:10:00,106.687,10.651,101.238,0.829
6/8/2021,03:20:00,106.687,10.651,101.254,0.827
6/8/2021,03:30:00,106.671,10.651,101.238,0.827
6/8/2021,03:40:00,106.671,10.651,101.238,0.827
6/8/2021,03:50:00,106.671,10.651,101.238,0.827
6/8/2021,04:00:00,106.655,10.651,101.238,0.826
6/8/2021,04:10:00,106.687,10.651,101.238,0.829
6/8/2021,04:20:00,106.671,10.651,101.238,0.827
6/8/2021,04:30:00,106.671,10.651,101.238,0.827
6/8/2021,04:40:00,106.671,10.651,101.238,0.827
6/8/2021,04:50:00,106.671,10.651,101.238,0.827
6/8/2021,05:00:00,106.687,10.651,101.254,0.827
6/8/2021,05:10:00,106.687,10.651,101.27,0.826
6/8/2021,05:20:00,106.703,10.651,101.286,0.826
